Species,Common name,Scientific name,Price,date
Geckos,Steudner’s Pygmy Gecko,Tropiocolotes steudneri,$19.99,27. Aug 19 
Lizards,Red And Black Chuckwalla,Sauromalus ater,$299.99,27. Aug 19 
Turtles,Baby Pinkbelly Snapping Turtle,Elseya novaeguineae,$59.99,27. Aug 19 
Lizards,Baby Abronia Mixteca (Mexican Alligator Lizard),Abronia mixteca,$99.99,27. Aug 19 
Amphibians,Reed Frog,Hyperolius Sp.,$6.99,27. Aug 19 
Turtles,Baby Oaxaca Mud Turtle,null,$199.99,31. Oct 19 
Snakes,Lesser Ball Python,null,$74.99,31. Oct 19 
Inverts,Desert Hairy Scorpion,Hadrurus arizonensis,$19.99,31. Oct 19 
Turtles,Baby Albino Red Eared Slider Turtle,Trachemys scripta elegans,$249.99,31. Oct 19 
Amphibians,Albino Axolotl,Ambystoma mexicanum,$24.99,30. Oct 19 
Lizards,Baby Kordensis Green Tree Monitor,null,"$1,199.99",30. Oct 19 
Inverts,King Baboon Tarantula,Pelinobius muticus,$29.99,30. Oct 19 
Lizards,Storr’s Monitor,null,$499.99,30. Oct 19 
Lizards,Brown Pricklenape,Acanthosaura lepidogaster,$14.99,30. Oct 19 
Amphibians,Baby C.B. Bird Poop Tree Frog,Theloderma asperum,$29.99,30. Oct 19 
Amphibians,Hourglass Frog,Dendropsophus ebraccatus,$24.99,30. Oct 19 
Snakes,Baby Irian Jaya x Jungle Jaguar Carpet Python,Morelia spilota variegata,$199.99,30. Oct 19 
Amphibians,Alanis Tinctorius Dart Frog,Dendrobates tinctorious,$39.99,30. Oct 19 
Inverts,Togo Starburst Baboon Tarantula,Heteroscrodra maculata,$24.99,30. Oct 19 
Snakes,Baby Anery Brooks Kingsnake,null,$44.99,30. Oct 19 
Amphibians,El Cope Auratus Dart Frog,Dendrobates auratus,$24.99,30. Oct 19 
Geckos,Satanic Leaftail Gecko,Uroplatus phantasticas,$599.99,30. Oct 19 
Lizards,Kordensis Green Tree Monitor,Varanus kordensis,$599.99,21. Aug 19 
Amphibians,Asian Toad,Duttaphrynus melanostictus,$7.99,21. Aug 19 
Inverts,African Long Tailed Centipede,Rhysida longipes,$9.99,21. Aug 19 
Lizards,Leopard Lizard,Gambelia wislizenii,$19.99,20. Aug 19 
Lizards,Baby Solomon Island Mangrove Monitor,Varanus indicus,$199.99,20. Aug 19 
Amphibians,Green And Black Mantella,Mantella nigricans,$39.99,20. Aug 19 
Amphibians,Guibé’s mantella,Mantella nigricans,$39.99,19. Aug 19 
Snakes,Baby Strawberry Cornsnake,Pantherophis guttatus,$39.99,19. Aug 19 
Venomous,Mangrove Snakes,Boiga dendrophila,$99.99,19. Aug 19 
Inverts,Purple Starburst Birdeater Tarantula,null,$69.99,19. Aug 19 
Lizards,Saharan Red Uromastyx,Uromastyx geyri,$74.99,29. Oct 19 
Inverts,Malaysian Vinegaroon,Hypoctonus rangunensis,$29.99,29. Oct 19 
Venomous,Copperhead Snake,Agkistrodon contortrix,$99.99,29. Oct 19 
Amphibians,Dumpy Tree Frog,Litoria caerulea,$24.99,29. Oct 19 
Geckos,White Lined Gecko,Gekko vittatus,$19.99,29. Oct 19 
Lizards,Mt Meru Chameleons,Trioceros jacksonii merumontanus,$79.99,29. Oct 19 
Amphibians,Spiny Rain Frog,Scaphiophyrne pustulosa,$59.99,29. Oct 19 
Lizards,Baby Albino Iguana,Iguana iguana,$849.99,29. Oct 19 
Snakes,Egyptian False Cobra,Malpolon moilensis,$199.99,29. Oct 19 
Inverts,Moon Crab,Gecarcinus quadratus,$11.99,29. Oct 19 
Snakes,Yearling Super Sunset Boa,Boa constrictor x imperator,$399.99,29. Oct 19 
Inverts,Dictator Emperor Scorpion,Pandinus dictator,$29.99,29. Oct 19 
Inverts,Himalayan Earth Tiger Tarantula,Haplocosmia himalayana,$59.99,29. Oct 19 
Snakes,Baby Merauke Green Tree Python,Morelia vridis,$399.99,29. Oct 19 
Snakes,Baby Ghost Brooks Kingsnake,Lampropeltis getula floridana,$99.99,29. Oct 19 
Amphibians,Albino Pacman Frog,Ceratophrys cranwelli,$14.99,29. Oct 19 
Lizards,Flapneck Chameleon,Chamaeleo dilepis,$34.99,29. Oct 19 
Snakes,Baby Axanthic Florida Kingsnake,Lampropeltis getula floridana,$59.99,14. Aug 19 
