Species,Common name,Scientific name,Price,months
Inverts,Giant Forest Mantis,Hierodula majuscula,$14.99,9
Snakes,Adult Biak Green Tree Python,Morelia viridis,$499.99,9
Snakes,Baby Licorice Rat Snake,Elaphe obsoleta obsoleta,$44.99,9
Lizards,Baby Painted Agama,Laudakia stellio brachydactyla,$69.99,9
Lizards,Tamatave Panther Chameleon,Furcifer pardalis,$349.99,9
Snakes,Adult Albino Corn Snake,Pantherophis guttatus,$74.99,9
Snakes,Baby Snow Motley Cornsnake,Pantherophis guttatus,$69.99,9
Tegus,Albino Ultra Purple Tegu #2,SALVATOR MERIANAE X RUFESCENS,"$2,499.99",9
Turtles,Baby Yellow Mud Turtle,Kinosternon flavescens,$79.99,9
Inverts,Mexican Red Leg Tarantula,Brachypelma emilia,$84.99,9
Snakes,Baby Sunglow Colombian Redtail Boa,Boa constrictor imperator,$374.99,9
Lizards,Haitain Galliwasp,,$149.99,9
Geckos,Malaysian Cat Eye Gecko,Aeluroscalabotes felinus,$74.99,9
Snakes,Baby Northern Pine Snake,Pituophis melanoleucus,$64.99,9
Snakes,Baby Desert Kingsnake,Lampropeltis getula splendida,$59.99,6
Tortoises,Home’s Hingeback Tortoise,Kinixys homeana,$59.99,6
Lizards,Solomon Island Ground Skink,Eugongylus albofasciolatus,$124.99,6
Snakes,Baby Everglades Ratsnake,Elaphe obsoleta rossalleni,$99.99,6
Inverts,Vietnamese Centipede,Scolopendra dehaani,$19.99,6
Lizards,Madagascan Spiny Tail Iguana (Grandidieri),Oplurus grandidieri,$39.99,6
Lizards,Desert Collared Lizard,Crotaphytus bicinctores,$24.99,6
Snakes,Baby Coastal Jaguar Carpet Python,Morelia spilota mcdowelli,$149.99,6
Inverts,Emerald Skeleton Tarantula,Ephebopus uatuman,$34.99,6
Lizards,Mountain Horned Lizard,Acanthosaura capra,$14.99,9
Geckos,Baby Leucistic Albino Leopard Gecko,Eublepharis macularius,$44.99,9
